Id,SalePrice
1461,117372.81219
1462,164388.82711
1463,179647.40123
1464,200740.15872
1465,234463.76397
1466,176903.19851
1467,195351.30082
1468,166588.99319
1469,182703.61664
1470,125107.20566
1471,194266.21554
1472,96958.965232
1473,84887.156876
1474,160187.64502
1475,111316.3312
1476,380387.78434
1477,251086.57785
1478,335184.2514
1479,324225.83794
1480,423629.70599
1481,293357.46364
1482,227246.37262
1483,179252.81002
1484,165974.47645
1485,187419.03256
1486,198394.51637
1487,354265.22661
1488,233704.12169
1489,188087.12499
1490,245858.24749
1491,192472.26828
1492,106226.97778
1493,171641.5376
1494,308773.28134
1495,315973.70098
1496,257554.17846
1497,196462.32552
1498,177739.67543
1499,180921.98829
1500,169675.00581
1501,180798.68603
1502,173579.87995
1503,275594.20373
1504,233113.6925
1505,218607.64905
1506,190595.43183
1507,221758.27326
1508,189586.30955
1509,167308.83144
1510,142837.36706
1511,144495.88153
1512,172883.425
1513,168697.70653
1514,174864.02604
1515,203412.45914
1516,164942.21697
1517,163117.99959
1518,155630.19983
1519,201149.2311
1520,124053.44325
1521,127971.74873
1522,167554.58876
1523,104169.43529
1524,124271.92214
1525,117057.8514
1526,112722.42997
1527,104111.6449
1528,154562.3426
1529,144215.56736
1530,190086.67134
1531,105283.75838
1532,97975.648782
1533,144437.03302
1534,118356.66676
1535,146139.325
1536,101651.19713
1537,37484.706145
1538,170720.10392
1539,200398.04505
1540,124045.05679
1541,138575.87568
1542,147357.3598
1543,188842.95723
1544,99591.517075
1545,132930.80944
1546,141053.51264
1547,137357.49726
1548,152276.6705
1549,139685.5402
1550,145419.55575
1551,107824.81989
1552,130872.58551
1553,147311.16845
1554,121870.05152
1555,166036.3548
1556,10000
1557,114238.29733
1558,98798.668643
1559,81891.688583
1560,155916.89664
1561,139796.45412
1562,116947.10079
1563,110943.22652
1564,160024.11728
1565,143636.79055
1566,228436.07092
1567,77980.208941
1568,224006.61887
1569,101383.4989
1570,122914.87175
1571,107416.11952
1572,138124.75011
1573,190430.36093
1574,115646.61998
1575,195367.1125
1576,245831.04939
1577,182688.68598
1578,157325.44145
1579,146019.26057
1580,196635.22708
1581,155967.66452
1582,139057.21027
1583,269442.03997
1584,227328.74195
1585,159606.77953
1586,46437.888557
1587,97419.328007
1588,132210.83671
1589,97702.401918
1590,123252.23037
1591,79855.424879
1592,107824.34211
1593,121817.4806
1594,156687.06408
1595,99111.833874
1596,207689.61103
1597,210750.23468
1598,216860.35329
1599,162073.49569
1600,151983.26843
1601,42556.707088
1602,102921.85125
1603,90043.008141
1604,280127.66059
1605,217302.14486
1606,177647.51449
1607,190085.14313
1608,209074.84534
1609,180478.75828
1610,162215.92603
1611,130507.65903
1612,183307.52736
1613,149086.85367
1614,107503.03652
1615,97579.421731
1616,70501.013762
1617,86209.312042
1618,111031.86749
1619,137369.6105
1620,169702.8012
1621,128445.68465
1622,140589.17541
1623,215618.54631
1624,193720.34643
1625,115981.76457
1626,171345.28587
1627,190007.83291
1628,258169.71025
1629,185209.17738
1630,364459.2675
1631,249250.49591
1632,266543.8251
1633,182240.27155
1634,182016.81339
1635,179380.46973
1636,153462.79193
1637,175847.13403
1638,204849.96849
1639,185712.67242
1640,246447.02936
1641,183187.04062
1642,245018.70401
1643,228017.2157
1644,228851.87306
1645,183123.85863
1646,156390.7147
1647,161295.46034
1648,134749.26624
1649,126608.61455
1650,120624.92843
1651,124205.50202
1652,92005.168587
1653,96902.894377
1654,149211.13793
1655,139553.27393
1656,141699.46985
1657,147507.49304
1658,152030.94236
1659,125013.00869
1660,151913.41072
1661,417165.98542
1662,375905.37846
1663,381192.53657
1664,445885.26777
1665,354858.95711
1666,319428.20578
1667,380630.86673
1668,364175.27746
1669,338250.67836
1670,374238.73317
1671,259035.09633
1672,395555.21932
1673,289566.96249
1674,256718.2125
1675,216484.81864
1676,212371.64882
1677,228858.10056
1678,433522.95645
1679,369391.82898
1680,355205.02661
1681,318246.85239
1682,311626.96735
1683,216060.91455
1684,187748.38862
1685,175217.264
1686,167704.00622
1687,180443.02371
1688,191507.43906
1689,197717.13183
1690,195481.77858
1691,187472.45776
1692,274172.5122
1693,182215.86605
1694,177656.00476
1695,169617.76057
1696,256247.4218
1697,183085.11111
1698,341753.8129
1699,313259.2728
1700,284250.21235
1701,297397.22334
1702,243255.87209
1703,243240.5885
1704,255195.61852
1705,259766.9168
1706,401098.31633
1707,236045.61419
1708,205393.38378
1709,248060.61286
1710,210806.20363
1711,283820.98887
1712,235528.81115
1713,276449.21088
1714,219454.05249
1715,204906.19944
1716,181420.67511
1717,173582.75864
1718,144456.99466
1719,199949.08213
1720,224268.61114
1721,174112.24245
1722,135912.18559
1723,157113.4284
1724,199425.81702
1725,213831.41594
1726,184131.43785
1727,166219.04825
1728,183669.70064
1729,173109.7222
1730,179194.57732
1731,117794.21284
1732,126954.29866
1733,112438.19672
1734,119925.78881
1735,137423.73145
1736,105641.98699
1737,311866.48647
1738,289478.66223
1739,278518.85767
1740,208239.70434
1741,192038.9766
1742,179441.21866
1743,190188.63502
1744,329983.78592
1745,227319.87391
1746,243441.13417
1747,217640.27624
1748,216919.8367
1749,149548.92066
1750,133659.60979
1751,227433.55097
1752,119655.30531
1753,155438.91014
1754,196547.7494
1755,161231.96234
1756,122251.3074
1757,115837.49898
1758,149124.78965
1759,173739.79342
1760,155109.16278
1761,147289.08458
1762,185221.27369
1763,184530.28518
1764,106353.82891
1765,181741.77036
1766,179151.04776
1767,203892.86641
1768,143753.60373
1769,170629.76955
1770,156739.21529
1771,122945.24798
1772,137017.62242
1773,108319.81252
1774,158996.07956
1775,135338.6379
1776,127383.67172
1777,105602.26702
1778,141484.63462
1779,112471.67512
1780,178985.801
1781,135385.42307
1782,59011.879093
1783,140718.8207
1784,84086.371334
1785,129803.08607
1786,130979.04582
1787,167464.57992
1788,37836.911616
1789,109576.77767
1790,37324.064773
1791,220015.26652
1792,152371.72923
1793,144268.18511
1794,166858.33965
1795,133265.13652
1796,123244.9445
1797,133819.80438
1798,115923.89158
1799,109352.60416
1800,117123.32417
1801,127255.79578
1802,154110.03895
1803,160730.24827
1804,142801.23669
1805,137514.7643
1806,136633.4212
1807,160890.36187
